ID;REFERENCIA;NOMBRE;MARCA;REF_FABRICANTE;TIPO;FAMILIA;UNIDAD;COSTE;PVP;ACTIVO;OBSERVACIONES
146;SHY-0146;Kit panel de control Shelly Wall Display White + sensor BLU H&T Ivory;Shelly;Kit panel de control Shelly Wall Display White + sensor BLU H&T Ivory;Hardware;Sensores;Unidad;93,84;110,40;SI;Tarifa instalador junio 2026 (dto 15%)
147;SHY-0147;Neo Smart Water Valve;Neo;;Hardware;Climatización;Unidad;233,10;259,00;SI;Tarifa instalador junio 2026 (dto 10%)
148;SHY-0148;Sensor Shelly Flood - detector de inundación;Shelly;Sensor Shelly Flood - detector de inundación;Hardware;Sensores;Unidad;15,40;22,00;SI;Tarifa instalador junio 2026 (dto 30%)
149;SHY-0149;Shelly sonda de temperatura para Addon 1 metro de cable;Shelly;sonda de temperatura para Addon 1 metro de cable;Hardware;Red y conectividad;Unidad;2,47;2,90;SI;Tarifa instalador junio 2026 (dto 15%)
150;SHY-0150;Shelly BLU RC Button 4;Shelly;BLU RC Button 4;Hardware;Sensores;Unidad;12,67;14,90;SI;Tarifa instalador junio 2026 (dto 15%)
151;SHY-0151;Shelly Plus Add-On;Shelly;Plus Add-On;Hardware;Red y conectividad;Unidad;11,48;13,50;SI;Tarifa instalador junio 2026 (dto 15%)
152;SHY-0152;Sensor Shelly Gas CNG - detector de gas natural;Shelly;Sensor Shelly Gas CNG - detector de gas natural;Hardware;Sensores;Unidad;41,23;48,50;SI;Tarifa instalador junio 2026 (dto 15%)
153;SHY-0153;Shelly BLU Button1 - azul;Shelly;BLU Button1 - azul;Hardware;Sensores;Unidad;12,67;14,90;SI;Tarifa instalador junio 2026 (dto 15%)
154;SHY-0154;Sensor Shelly Gas LPG detector de gas licuado;Shelly;Sensor Shelly Gas LPG detector de gas licuado;Hardware;Sensores;Unidad;41,23;48,50;SI;Tarifa instalador junio 2026 (dto 15%)
155;SHY-0155;Shelly Wall Display blanco - Panel de control con relé y sensores;Shelly;Wall Display blanco - Panel de control con relé y sensores;Hardware;Sensores;Unidad;101,15;119,00;SI;Tarifa instalador junio 2026 (dto 15%)
156;SHY-0156;LOQED Touch Smart Lock Black Edition;LOQED;;Hardware;Accesos y cerraduras;Unidad;188,32;209,24;SI;Tarifa instalador junio 2026 (dto 10%)
157;SHY-0157;LinkedGo Smart floor heating thermostat;LinkedGo;;Hardware;Climatización;Unidad;48,83;57,45;SI;Tarifa instalador junio 2026 (dto 15%)
158;SHY-0158;Shelly Wall Display+BLU H&T - negro;Shelly;Wall Display+BLU H&T - negro;Hardware;Sensores;Unidad;93,84;110,40;SI;Tarifa instalador junio 2026 (dto 15%)
159;SHY-0159;Shelly BLU TRV- pack 3;Shelly;BLU TRV- pack 3;Hardware;Packs;Conjunto;110,42;129,90;SI;Tarifa instalador junio 2026 (dto 15%)
160;SHY-0160;Shelly BLU TRV- PACK 2;Shelly;BLU TRV- PACK 2;Hardware;Packs;Conjunto;74,80;88,00;SI;Tarifa instalador junio 2026 (dto 15%)
161;SHY-0161;Shelly Plug S Gen3 MTR White Pack x5;Shelly;Plug S Gen3 MTR White Pack x5;Hardware;Packs;Conjunto;80,35;94,53;SI;Tarifa instalador junio 2026 (dto 15%)
162;SHY-0162;Shelly Plug M Gen3 White X2;Shelly;Plug M Gen3 White X2;Hardware;Packs;Conjunto;28,56;33,60;SI;Tarifa instalador junio 2026 (dto 15%)
163;SHY-0163;Shelly Plug M Gen3 black X2;Shelly;Plug M Gen3 black X2;Hardware;Packs;Conjunto;28,56;33,60;SI;Tarifa instalador junio 2026 (dto 15%)
164;SHY-0164;Shelly Plug M Gen3 White X4;Shelly;Plug M Gen3 White X4;Hardware;Packs;Conjunto;54,28;63,86;SI;Tarifa instalador junio 2026 (dto 15%)
165;SHY-0165;Shelly Plug M Gen3 black X4;Shelly;Plug M Gen3 black X4;Hardware;Packs;Conjunto;54,28;63,86;SI;Tarifa instalador junio 2026 (dto 15%)
166;SHY-0166;PACK SMART SECURITY X3;;;Hardware;Packs;Conjunto;101,91;113,23;SI;Tarifa instalador junio 2026 (dto 10%)
167;SHY-0167;PACK CONTROL CLIMATICO INTELIGENTE;;;Hardware;Packs;Conjunto;318,07;374,20;SI;Tarifa instalador junio 2026 (dto 15%)
168;SHY-0168;Pack Puerta Corredera KANE-800 Control Total;;;Hardware;Packs;Conjunto;420,44;494,63;SI;Tarifa instalador junio 2026 (dto 15%)
169;SHY-0169;PACK 2 SHELLY 1 GEN3 + 2 SHELLY 1PM GEN3;Shelly;PACK 2 SHELLY 1 GEN3 + 2 SHELLY 1PM GEN3;Hardware;Packs;Conjunto;46,28;48,72;SI;Tarifa instalador junio 2026 (dto 5%)
170;SHY-0170;PACK GESTION ENERGETICA PRO;;;Hardware;Packs;Conjunto;172,46;229,95;SI;Tarifa instalador junio 2026 (dto 25%)
171;SHY-0171;PACK CUADRO PROFESIONAL;;;Hardware;Packs;Conjunto;218,22;272,78;SI;Tarifa instalador junio 2026 (dto 20%)
172;SHY-0172;PACK ANTIRROBO;;;Hardware;Packs;Conjunto;204,78;255,97;SI;Tarifa instalador junio 2026 (dto 20%)
173;SHY-0173;PACK MEDICION + ILUMINACION;;;Hardware;Packs;Conjunto;182,45;228,06;SI;Tarifa instalador junio 2026 (dto 20%)
174;SHY-0174;PACK ILUMINACION SMART LED RGB;;;Hardware;Packs;Conjunto;54,64;78,06;SI;Tarifa instalador junio 2026 (dto 30%)
175;SHY-0175;PACK CONTROL 6 DOWNLIGHTS;;;Hardware;Packs;Conjunto;83,34;92,60;SI;Tarifa instalador junio 2026 (dto 10%)
176;SHY-0176;"Pack Reforma Inteligente ""Doble Zona"": 10 Downlights Pro + Shelly 2PM";Shelly;"Pack Reforma Inteligente ""Doble Zona"": 10 Downlights Pro + Shelly 2PM";Hardware;Packs;Conjunto;98,70;141,00;SI;Tarifa instalador junio 2026 (dto 30%)
177;SHY-0177;Pack Iluminación Industrial: 1 Shelly PRO 1 + 2 CAMPANAS 1/10V 100W;Shelly;Pack Iluminación Industrial: 1 Shelly PRO 1 + 2 CAMPANAS 1/10V 100W;Hardware;Packs;Conjunto;231,32;385,54;SI;Tarifa instalador junio 2026 (dto 40%)
178;SHY-0178;Shelly EM Mini Gen4 PACK 2;Shelly;EM Mini Gen4 PACK 2;Hardware;Packs;Conjunto;26,34;32,93;SI;Tarifa instalador junio 2026 (dto 20%)
179;SHY-0179;Shelly 1 Mini Gen3 x2;Shelly;1 Mini Gen3 x2;Hardware;Packs;Conjunto;19,59;23,05;SI;Tarifa instalador junio 2026 (dto 15%)
180;SHY-0180;Shelly 1mini Gen4 2-pack;Shelly;1mini Gen4 2-pack;Hardware;Packs;Conjunto;27,99;32,93;SI;Tarifa instalador junio 2026 (dto 15%)
181;SHY-0181;Shelly 1PM Mini Gen3 x2;Shelly;1PM Mini Gen3 x2;Hardware;Packs;Conjunto;21,00;24,70;SI;Tarifa instalador junio 2026 (dto 15%)
182;SHY-0182;Shelly 1PM mini Gen4 2-pack;Shelly;1PM mini Gen4 2-pack;Hardware;Packs;Conjunto;30,79;36,22;SI;Tarifa instalador junio 2026 (dto 15%)
183;SHY-0183;Shelly 1 Gen3- PACK 2;Shelly;1 Gen3- PACK 2;Hardware;Packs;Conjunto;19,59;23,05;SI;Tarifa instalador junio 2026 (dto 15%)
184;SHY-0184;Shelly 1 Gen3 x4;Shelly;1 Gen3 x4;Hardware;Packs;Conjunto;38,39;45,16;SI;Tarifa instalador junio 2026 (dto 15%)
185;SHY-0185;Shelly 1 Gen4 PACK 2;Shelly;1 Gen4 PACK 2;Hardware;Packs;Conjunto;27,99;32,93;SI;Tarifa instalador junio 2026 (dto 15%)
186;SHY-0186;Shelly 1 Gen4 4-pack;Shelly;1 Gen4 4-pack;Hardware;Packs;Conjunto;54,83;64,51;SI;Tarifa instalador junio 2026 (dto 15%)
187;SHY-0187;Shelly 1PM Gen3- PACK 2;Shelly;1PM Gen3- PACK 2;Hardware;Packs;Conjunto;21,00;24,70;SI;Tarifa instalador junio 2026 (dto 15%)
188;SHY-0188;Shelly 1PM Gen3 x4;Shelly;1PM Gen3 x4;Hardware;Packs;Conjunto;41,12;48,38;SI;Tarifa instalador junio 2026 (dto 15%)
189;SHY-0189;Shelly 1PM Gen4 PACK 2;Shelly;1PM Gen4 PACK 2;Hardware;Packs;Conjunto;30,79;36,22;SI;Tarifa instalador junio 2026 (dto 15%)
190;SHY-0190;Shelly 1PM Gen4 4-pack;Shelly;1PM Gen4 4-pack;Hardware;Packs;Conjunto;60,32;70,96;SI;Tarifa instalador junio 2026 (dto 15%)
191;SHY-0191;Shelly 2PM Gen3- PACK 2;Shelly;2PM Gen3- PACK 2;Hardware;Packs;Conjunto;27,99;32,93;SI;Tarifa instalador junio 2026 (dto 15%)
192;SHY-0192;Shelly 2PM Gen3 x4;Shelly;2PM Gen3 x4;Hardware;Packs;Conjunto;54,83;64,51;SI;Tarifa instalador junio 2026 (dto 15%)
193;SHY-0193;Shelly 2PM Gen4 x2;Shelly;2PM Gen4 x2;Hardware;Packs;Conjunto;41,98;49,39;SI;Tarifa instalador junio 2026 (dto 15%)
194;SHY-0194;Shelly 2PM Gen4 PACK 4;Shelly;2PM Gen4 PACK 4;Hardware;Packs;Conjunto;82,25;96,77;SI;Tarifa instalador junio 2026 (dto 15%)
195;SHY-0195;Pack doble medidor consumo Shelly;Shelly;Pack doble medidor consumo Shelly;Hardware;Packs;Conjunto;41,44;51,80;SI;Tarifa instalador junio 2026 (dto 20%)
196;SHY-0196;Pack Principiante Inteligente: 1 Shelly Plus 1PM + 1 Downlight Circular;Shelly;Pack Principiante Inteligente: 1 Shelly Plus 1PM + 1 Downlight Circular;Hardware;Packs;Conjunto;21,07;30,10;SI;Tarifa instalador junio 2026 (dto 30%)
197;SHY-0197;Pack sensor de temperatura Shelly Plus;Shelly;Pack sensor de temperatura Shelly Plus;Hardware;Packs;Conjunto;23,94;28,16;SI;Tarifa instalador junio 2026 (dto 15%)
198;SHY-0198;Pack puerta automática Shelly Plus;Shelly;Pack puerta automática Shelly Plus;Hardware;Packs;Conjunto;23,57;27,73;SI;Tarifa instalador junio 2026 (dto 15%)
199;SHY-0199;Pack gestión de excedente;;;Hardware;Packs;Conjunto;49,60;62,00;SI;Tarifa instalador junio 2026 (dto 20%)
200;SHY-0200;Pack contador de agua 3/4;;;Hardware;Packs;Conjunto;23,89;28,10;SI;Tarifa instalador junio 2026 (dto 15%)
201;SHY-0201;Pack medidor de temperatura para piscina con programador de bomba;;;Hardware;Packs;Conjunto;32,49;38,22;SI;Tarifa instalador junio 2026 (dto 15%)
202;SHY-0202;Pack medidor de temperatura para piscina con programador de bomba;;;Hardware;Packs;Conjunto;30,32;40,43;SI;Tarifa instalador junio 2026 (dto 25%)
203;SHY-0203;Shelly LoRa Add-on PACK 2;Shelly;LoRa Add-on PACK 2;Hardware;Packs;Conjunto;26,27;30,90;SI;Tarifa instalador junio 2026 (dto 15%)
204;SHY-0204;Pack Puerta automática y mando;;;Hardware;Packs;Conjunto;22,66;26,66;SI;Tarifa instalador junio 2026 (dto 15%)
205;SHY-0205;Pack control de nivel líquido;;;Hardware;Packs;Conjunto;29,90;35,18;SI;Tarifa instalador junio 2026 (dto 15%)
206;SHY-0206;Pack Bienvenida Garaje: 1 Shelly Gen 3 + 1 Shelly Motion + Foco Led;Shelly;Pack Bienvenida Garaje: 1 Shelly Gen 3 + 1 Shelly Motion + Foco Led;Hardware;Packs;Conjunto;48,56;57,13;SI;Tarifa instalador junio 2026 (dto 15%)
207;SHY-0207;Pack Pasillo Inteligente: 1 Shelly 1 Gen3 + 2 Downlights Superficie;Shelly;Pack Pasillo Inteligente: 1 Shelly 1 Gen3 + 2 Downlights Superficie;Hardware;Packs;Conjunto;21,56;30,80;SI;Tarifa instalador junio 2026 (dto 30%)
208;SHY-0208;Pack Fachada Inteligente: 2 APLIQUE PARED LED 2x7W 1470lm 90º;;;Hardware;Packs;Conjunto;62,23;88,90;SI;Tarifa instalador junio 2026 (dto 30%)
209;SHY-0209;Shelly Split Core 50A pinza - transformador de corriente;Shelly;Split Core 50A pinza - transformador de corriente;Hardware;Enchufes y consumo;Unidad;9,27;10,90;SI;Tarifa instalador junio 2026 (dto 15%)
210;SHY-0210;Shelly Wall Switch 1 - pulsador blanco;Shelly;Wall Switch 1 - pulsador blanco;Hardware;Sensores;Unidad;6,12;7,20;SI;Tarifa instalador junio 2026 (dto 15%)
211;SHY-0211;Shelly pulsador pared 1 negro;Shelly;pulsador pared 1 negro;Hardware;Sensores;Unidad;6,12;7,20;SI;Tarifa instalador junio 2026 (dto 15%)
212;SHY-0212;Shelly marco 2 negro;Shelly;marco 2 negro;Hardware;Accesorios;Unidad;5,87;6,90;SI;Tarifa instalador junio 2026 (dto 15%)
213;SHY-0213;Shelly pulsador pared 2 negro;Shelly;pulsador pared 2 negro;Hardware;Sensores;Unidad;6,12;7,20;SI;Tarifa instalador junio 2026 (dto 15%)
214;SHY-0214;Shelly pulsador pared 2 blanco;Shelly;pulsador pared 2 blanco;Hardware;Sensores;Unidad;6,12;7,20;SI;Tarifa instalador junio 2026 (dto 15%)
215;SHY-0215;Shelly marco interruptor pared 1 blanco;Shelly;marco interruptor pared 1 blanco;Hardware;Accesorios;Unidad;3,32;3,90;SI;Tarifa instalador junio 2026 (dto 15%)
216;SHY-0216;Shelly marco interruptor pared 2 blanco;Shelly;marco interruptor pared 2 blanco;Hardware;Accesorios;Unidad;5,87;6,90;SI;Tarifa instalador junio 2026 (dto 15%)
217;SHY-0217;Toma de corriente Shelly blanca;Shelly;Toma de corriente Shelly blanca;Hardware;Accesorios;Unidad;6,12;7,20;SI;Tarifa instalador junio 2026 (dto 15%)
218;SHY-0218;Shelly marco 1 negro;Shelly;marco 1 negro;Hardware;Accesorios;Unidad;3,32;3,90;SI;Tarifa instalador junio 2026 (dto 15%)
219;SHY-0219;Toma de corriente Shelly negra;Shelly;Toma de corriente Shelly negra;Hardware;Accesorios;Unidad;6,12;7,20;SI;Tarifa instalador junio 2026 (dto 15%)
220;SHY-0220;Shelly Split Core 120A - transformador de corriente;Shelly;Split Core 120A - transformador de corriente;Hardware;Accesorios;Unidad;12,33;14,50;SI;Tarifa instalador junio 2026 (dto 15%)
221;SHY-0221;Shelly BLU Gateway;Shelly;BLU Gateway;Hardware;Red y conectividad;Unidad;12,67;14,90;SI;Tarifa instalador junio 2026 (dto 15%)
222;SHY-0222;Shelly pulsador pared 4 negro;Shelly;pulsador pared 4 negro;Hardware;Sensores;Unidad;6,12;7,20;SI;Tarifa instalador junio 2026 (dto 15%)
223;SHY-0223;Shelly By Pass;Shelly;By Pass;Hardware;Accesorios;Unidad;2,47;2,90;SI;Tarifa instalador junio 2026 (dto 15%)
224;SHY-0224;Shelly LoRa Add-on;Shelly;LoRa Add-on;Hardware;Red y conectividad;Unidad;13,52;15,90;SI;Tarifa instalador junio 2026 (dto 15%)
225;SHY-0225;RC SNUBBER- filtro picos de tensión;;;Hardware;Accesorios;Unidad;2,13;2,50;SI;Tarifa instalador junio 2026 (dto 15%)
226;SHY-0226;Accionador Shelly gas add-on manipulador;Shelly;Accionador Shelly gas add-on manipulador;Hardware;Sensores;Unidad;15,73;18,50;SI;Tarifa instalador junio 2026 (dto 15%)
227;SHY-0227;Shelly USB Charger-Wall Display Stand white;Shelly;USB Charger-Wall Display Stand white;Hardware;Accesorios;Unidad;6,79;7,99;SI;Tarifa instalador junio 2026 (dto 15%)
228;SHY-0228;Shelly marco 3 negro;Shelly;marco 3 negro;Hardware;Accesorios;Unidad;7,57;8,90;SI;Tarifa instalador junio 2026 (dto 15%)
229;SHY-0229;Shelly Wall Display Stand Black;Shelly;Wall Display Stand Black;Hardware;Accesorios;Unidad;16,07;18,90;SI;Tarifa instalador junio 2026 (dto 15%)
230;SHY-0230;Shelly LAN Switch;Shelly;LAN Switch;Hardware;Accesorios;Unidad;44,98;52,92;SI;Tarifa instalador junio 2026 (dto 15%)
231;SHY-0231;FrankEver Smart water valve DN15;FrankEver;;Hardware;Climatización;Unidad;79,94;94,05;SI;Tarifa instalador junio 2026 (dto 15%)
232;SHY-0232;Shelly marco interruptor pared 3 blanco;Shelly;marco interruptor pared 3 blanco;Hardware;Accesorios;Unidad;7,57;8,90;SI;Tarifa instalador junio 2026 (dto 15%)
233;SHY-0233;Shelly pulsador 4 blanco;Shelly;pulsador 4 blanco;Hardware;Sensores;Unidad;6,12;7,20;SI;Tarifa instalador junio 2026 (dto 15%)
234;SHY-0234;FrankEver Smart water valve DN20;FrankEver;;Hardware;Climatización;Unidad;83,47;98,20;SI;Tarifa instalador junio 2026 (dto 15%)
235;SHY-0235;FrankEver Smart water valve DN25;FrankEver;;Hardware;Climatización;Unidad;91,19;107,28;SI;Tarifa instalador junio 2026 (dto 15%)
236;SHY-0236;Shelly Bypass for 1L/2L;Shelly;Bypass for 1L/2L;Hardware;Accesorios;Unidad;3,32;3,90;SI;Tarifa instalador junio 2026 (dto 15%)
237;SHY-0237;Shelly Bypass for Dimmer Gen3;Shelly;Bypass for Dimmer Gen3;Hardware;Iluminación;Unidad;3,32;3,90;SI;Tarifa instalador junio 2026 (dto 15%)
238;SHY-0238;Shelly 80A Current Transformer with connector;Shelly;80A Current Transformer with connector;Hardware;Enchufes y consumo;Unidad;10,20;12,00;SI;Tarifa instalador junio 2026 (dto 15%)
239;SHY-0239;Shelly 50A current ?ransf. Pro EM-50 and EM Gen3;Shelly;50A current ?ransf. Pro EM-50 and EM Gen3;Hardware;Enchufes y consumo;Unidad;9,27;10,90;SI;Tarifa instalador junio 2026 (dto 15%)
240;SHY-0240;Shelly Wave Door/Window EU;Shelly;Wave Door/Window EU;Hardware;Sensores;Unidad;27,20;32,00;SI;Tarifa instalador junio 2026 (dto 15%)
241;SHY-0241;Shelly Wave Plug S;Shelly;Wave Plug S;Hardware;Enchufes y consumo;Unidad;34,00;40,00;SI;Tarifa instalador junio 2026 (dto 15%)
242;SHY-0242;Shelly Wave Plug S Black LR;Shelly;Wave Plug S Black LR;Hardware;Enchufes y consumo;Unidad;34,00;40,00;SI;Tarifa instalador junio 2026 (dto 15%)
243;SHY-0243;LOQED Touch Smart Lock- SILVER;LOQED;;Hardware;Accesos y cerraduras;Unidad;177,85;209,24;SI;Tarifa instalador junio 2026 (dto 15%)
244;SHY-0244;Contactor MAXGE;;;Hardware;Relés y control;Unidad;14,10;16,59;SI;Tarifa instalador junio 2026 (dto 15%)
245;SHY-0245;Shelly Flood Gen4;Shelly;Flood Gen4;Hardware;Sensores;Unidad;24,99;29,40;SI;Tarifa instalador junio 2026 (dto 15%)
246;SHY-0246;Shelly Leak Sensor Cable;Shelly;Leak Sensor Cable;Hardware;Sensores;Unidad;5,02;5,90;SI;Tarifa instalador junio 2026 (dto 15%)
247;SHY-0247;Shelly Power Strip 4 Gen4 White;Shelly;Power Strip 4 Gen4 White;Hardware;Iluminación;Unidad;42,79;50,34;SI;Tarifa instalador junio 2026 (dto 15%)
248;SHY-0248;Shelly Power Strip 4 Gen4 Black;Shelly;Power Strip 4 Gen4 Black;Hardware;Iluminación;Unidad;42,79;50,34;SI;Tarifa instalador junio 2026 (dto 15%)
249;SHY-0249;LOQED Power Kit;LOQED;;Hardware;Relés y control;Unidad;44,96;49,95;SI;Tarifa instalador junio 2026 (dto 10%)
250;SHY-0250;Hub de casa inteligente;;;Hardware;Red y conectividad;Unidad;66,33;73,70;SI;Tarifa instalador junio 2026 (dto 10%)
251;SHY-0251;Shelly Wave H&T;Shelly;Wave H&T;Hardware;Sensores;Unidad;28,05;33,00;SI;Tarifa instalador junio 2026 (dto 15%)
252;SHY-0252;Shelly Wave Motion;Shelly;Wave Motion;Hardware;Sensores;Unidad;27,00;36,00;SI;Tarifa instalador junio 2026 (dto 25%)
253;SHY-0253;Ecowitt Weather Station WS90;;;Hardware;Relés y control;Unidad;159,66;177,40;SI;Tarifa instalador junio 2026 (dto 10%)
254;SHY-0254;Shelly 1- Channel Decoupler 230V;Shelly;1- Channel Decoupler 230V;Hardware;Relés y control;Unidad;2,98;3,50;SI;Tarifa instalador junio 2026 (dto 15%)
255;SHY-0255;Shelly 4- Channel Decoupler 230V;Shelly;4- Channel Decoupler 230V;Hardware;Relés y control;Unidad;5,02;5,90;SI;Tarifa instalador junio 2026 (dto 15%)
256;SHY-0256;TopAC Portable EV charger 11kW EVE01-11R;;;Hardware;Relés y control;Unidad;196,65;207,00;SI;Tarifa instalador junio 2026 (dto 5%)
257;SHY-0257;Shelly BLU Remote Control ZB White;Shelly;BLU Remote Control ZB White;Hardware;Sensores;Unidad;21,69;25,52;SI;Tarifa instalador junio 2026 (dto 15%)
258;SHY-0258;Shelly BLU Remote Control ZB Black;Shelly;BLU Remote Control ZB Black;Hardware;Sensores;Unidad;21,69;25,52;SI;Tarifa instalador junio 2026 (dto 15%)
259;SHY-0259;Shelly BLU Distance;Shelly;BLU Distance;Hardware;Sensores;Unidad;24,57;28,91;SI;Tarifa instalador junio 2026 (dto 15%)
260;SHY-0260;Conjunto protecciones trifáscas;;;Hardware;Relés y control;Unidad;207,00;230,00;SI;Tarifa instalador junio 2026 (dto 10%)
261;SHY-0261;Shelly Cloud Premium B2B Service;Shelly;Cloud Premium B2B Service;Servicio;Relés y control;Unidad;25,49;29,99;SI;Tarifa instalador junio 2026 (dto 15%)
